time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,80,25,0,0
2026-04-25 00:00:00+00:00,55,21,1,1
2026-04-26 00:00:00+00:00,17,5,0,0
2026-04-27 00:00:00+00:00,6,3,0,0
2026-04-28 00:00:00+00:00,26,8,0,0
2026-04-29 00:00:00+00:00,42,10,0,0
2026-04-30 00:00:00+00:00,28,8,0,0
2026-05-01 00:00:00+00:00,32,7,0,0
2026-05-02 00:00:00+00:00,36,8,0,0
2026-05-03 00:00:00+00:00,18,9,0,0
2026-05-04 00:00:00+00:00,15,5,0,0
2026-05-05 00:00:00+00:00,51,11,0,0
2026-05-06 00:00:00+00:00,2,2,0,0
2026-05-07 00:00:00+00:00,25,7,0,0
